record_id,source,title,snippet,link,thumbnail,video_link,snippet_highlighted_words,displayed_link,title_snippet,likes,comments,author,link_to_author,post_id
11,TikTok · Follow For More Worlds Content,Faker chooses Galio as his Worlds skin #faker #t1 ...,TikTok video from t1 enjoyer (@ggitsryan_): “Faker chooses Galio as his Worlds skin #faker ... Faker. US CELEBRATING FAKER GALIO SKINoriginal,https://www.tiktok.com/@ggitsryan_/video/7572913515279781150,,,Faker chooses Galio as his Worlds skin,90K+ views · 2 hours ago,Faker chooses Galio as his Worlds skin #faker #t1 ... TikTok video from t1 enjoyer (@ggitsryan_): “Faker chooses Galio as his Worlds skin #faker ... Faker. US CELEBRATING FAKER GALIO SKINoriginal,,,ggitsryan_,https://www.tiktok.com/@ggitsryan_,7572913515279781150
12,TikTok · Bojou,Understanding Faker's Impact on League of Legends Esports,Discover how Faker influences the League of Legends esports scene and what makes him a legendary player. #t1 #faker #leagueoflegends #esports # ...,https://www.tiktok.com/@bojou3/video/7571509399316122883,https://serpapi.com/searches/691885e1d02d2a05ad081917/images/b04dfab243bd576311af0bd56ee240154367ad6fd2f35c1920755a1e84b0ace4.jpeg,,,24.4K+ views · 3 days ago,Understanding Faker's Impact on League of Legends Esports Discover how Faker influences the League of Legends esports scene and what makes him a legendary player. #t1 #faker #leagueoflegends #esports # ...,,,bojou3,https://www.tiktok.com/@bojou3,7571509399316122883
14,TikTok · humzh,Playing with Faker: A League of Legends Experience,Faker turned down literal blank checks to play with his team for an organization he had faith in. He will always be my #1 all-star.,https://www.tiktok.com/@humzhlol/video/7549425132180163870,https://serpapi.com/searches/691885e1d02d2a05ad081917/images/b04dfab243bd576311af0bd56ee24015b4cef392ddc4c7515156d675a508c092.jpeg,,,1.5M+ views · 2 months ago,Playing with Faker: A League of Legends Experience Faker turned down literal blank checks to play with his team for an organization he had faith in. He will always be my #1 all-star.,,,humzhlol,https://www.tiktok.com/@humzhlol,7549425132180163870
15,TikTok · Billy Han,The greatest E-sports athlete of all time #faker #t1 #esports ...,"9009 Likes, 85 Comments. TikTok video from Billy Han (@billyhan_): “The greatest E-sports athlete of all time #faker #t1 #esports ...",https://www.tiktok.com/@billyhan_/video/7572327858387881227,https://serpapi.com/searches/691885e1d02d2a05ad081917/images/b04dfab243bd576311af0bd56ee24015ecd355f6eef47900359efb272dce2637.jpeg,,,68.6K+ views · 1 day ago,"The greatest E-sports athlete of all time #faker #t1 #esports ... 9009 Likes, 85 Comments. TikTok video from Billy Han (@billyhan_): “The greatest E-sports athlete of all time #faker #t1 #esports ...",9009,85,billyhan_,https://www.tiktok.com/@billyhan_,7572327858387881227
16,TikTok · Spooky,T1 Faker: The Unkillable Demon King of League of Legends,Explore why T1 Faker is considered the greatest of all time in esports. Dive into his legendary moments and impact in gaming. #spouky # ...,https://www.tiktok.com/@sp0uk_/video/7567972110740507918,,,T1 Faker is considered the greatest of all time in esports,841.2K+ views · 2 weeks ago,T1 Faker: The Unkillable Demon King of League of Legends Explore why T1 Faker is considered the greatest of all time in esports. Dive into his legendary moments and impact in gaming. #spouky # ...,,,sp0uk_,https://www.tiktok.com/@sp0uk_,7567972110740507918
18,TikTok · ShyKnock,⚾️🧢#faker #t1 #lolesports #leagueoflegends #worlds2025,"You might know him. Faker. He's absolutely dominated the league of legends pro. team for ages, but especially during 2013 to 2016. Although that ...",https://www.tiktok.com/@shyknocklol/video/7572390975109139743,https://serpapi.com/searches/691885e1d02d2a05ad081917/images/b04dfab243bd576311af0bd56ee240150c905da65b93857787eedccc07433daf.jpeg,,,24.9K+ views · 1 day ago,"⚾️🧢#faker #t1 #lolesports #leagueoflegends #worlds2025 You might know him. Faker. He's absolutely dominated the league of legends pro. team for ages, but especially during 2013 to 2016. Although that ...",,,shyknocklol,https://www.tiktok.com/@shyknocklol,7572390975109139743
19,TikTok · Follow For More Worlds Content,Faker's Impressive Focus on Assists at Worlds 2025,Experience Faker's dedication as he focuses on getting the assist while T1 celebrates. Join the League of Legends action! #faker #t1 #lolesports ...,https://www.tiktok.com/@ggitsryan_/video/7570892901270523167,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_dvZ_-XqJivEJJ3m-UIHuwup6bE7ETMU-LrFbp4eB5PkVOTMR7CMORw&s,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcRl6xdGiUCooR9pcE9xByeULkoyApGBAeQcsA,,774.9K+ views · 5 days ago,Faker's Impressive Focus on Assists at Worlds 2025 Experience Faker's dedication as he focuses on getting the assist while T1 celebrates. Join the League of Legends action! #faker #t1 #lolesports ...,,,ggitsryan_,https://www.tiktok.com/@ggitsryan_,7570892901270523167
20,TikTok · Azzapp,Discovering Why Faker is the Greatest of All Time,Uncover the reasons behind Faker's legacy in League of Legends. Dive into the skills that make him a gaming icon!,https://www.tiktok.com/@azz.app/video/7493627054689176837,https://serpapi.com/searches/691885e565f701103f6f81ca/images/e12c9a8f9dc91a8cd2052ff02a947a3de418fb21950bc17313616d07313c9bd7.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcQHUQW7DEVWpR7qBWu7uk_-rDtx7MQcmk31ZA,,716.5K+ views · 7 months ago,Discovering Why Faker is the Greatest of All Time Uncover the reasons behind Faker's legacy in League of Legends. Dive into the skills that make him a gaming icon!,,,azz.app,https://www.tiktok.com/@azz.app,7493627054689176837
21,TikTok · Jackson RC,Why Faker Should Lose: A Perspective on Esports Rivalry,"Faker's longevity is so far beyond any other player that another being more mechanically skilled than him doesn't matter, he had an ...",https://www.tiktok.com/@jacksonroyc/video/7564524967723846942,https://serpapi.com/searches/691885e565f701103f6f81ca/images/e12c9a8f9dc91a8cd2052ff02a947a3dba9f8e0bd3fb975b3fd19ce5a4791540.jpeg,,,129K+ views · 3 weeks ago,"Why Faker Should Lose: A Perspective on Esports Rivalry Faker's longevity is so far beyond any other player that another being more mechanically skilled than him doesn't matter, he had an ...",,,jacksonroyc,https://www.tiktok.com/@jacksonroyc,7564524967723846942
22,TikTok · Caedrel,Faker's Masterclass in League of Legends Gameplay,Discover Faker's top strategies and gameplay techniques in League of Legends. Click to watch his live moments! #caedrelclips #caedrel # ...,https://www.tiktok.com/@caedrel/video/7528573957579050262,https://serpapi.com/searches/691885e565f701103f6f81ca/images/e12c9a8f9dc91a8cd2052ff02a947a3da8e8de03032c9ad8445501f6737d5e28.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcSOjlTcXmz-17nzWp0uRUgUKZtkbAvIWrhn-Q,,110.4K+ views · 4 months ago,Faker's Masterclass in League of Legends Gameplay Discover Faker's top strategies and gameplay techniques in League of Legends. Click to watch his live moments! #caedrelclips #caedrel # ...,,,caedrel,https://www.tiktok.com/@caedrel,7528573957579050262
23,TikTok · Kayjayoh,I witnessed Greatness fr #t1faker #t1 #leagueoflegends # ...,"Faker came in on 2013. It's 2025. 12 years 6 worlds wins that's a 50% win rate. He's won 6/8 final appearances , he has a 75% win rate ...",https://www.tiktok.com/@kayjayoh/video/7570980757557038391,,,Faker,129K+ views · 5 days ago,"I witnessed Greatness fr #t1faker #t1 #leagueoflegends # ... Faker came in on 2013. It's 2025. 12 years 6 worlds wins that's a 50% win rate. He's won 6/8 final appearances , he has a 75% win rate ...",,,kayjayoh,https://www.tiktok.com/@kayjayoh,7570980757557038391
24,TikTok · AloisNL,Faker's Confusing League of Legends Moments,Explore Faker's bewildering reactions in League of Legends gameplay. Witness the confusion and hilarity!,https://www.tiktok.com/@aloisnl/video/7496458404643245334,https://serpapi.com/searches/691885e565f701103f6f81ca/images/e12c9a8f9dc91a8cd2052ff02a947a3d67db9ee5db12b09ea4c4c4054fe25ddf.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcQuzPWqtZkBaKLiFOQedueHG6NIdYVcmYhePg,,761.9K+ views · 6 months ago,Faker's Confusing League of Legends Moments Explore Faker's bewildering reactions in League of Legends gameplay. Witness the confusion and hilarity!,,,aloisnl,https://www.tiktok.com/@aloisnl,7496458404643245334
25,TikTok · LeMister,How Faker Became the Best League of Legends Player,Explore how Faker mastered League of Legends without shortcuts or guides. Discover his journey and insights! #leagueoflegends #lol #leaguetiktok ...,https://www.tiktok.com/@lemisteryt/video/7543614885553278230,https://serpapi.com/searches/691885e565f701103f6f81ca/images/e12c9a8f9dc91a8cd2052ff02a947a3d22806d4e48df5b172f75a1b24278e15f.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcTn-yoa5IjWOV1Zfvw7dcnqXo1r-IJSO3HQBw,,2.4K+ views · 2 months ago,How Faker Became the Best League of Legends Player Explore how Faker mastered League of Legends without shortcuts or guides. Discover his journey and insights! #leagueoflegends #lol #leaguetiktok ...,,,lemisteryt,https://www.tiktok.com/@lemisteryt,7543614885553278230
26,TikTok · theScore esports,pentakill - #esports - #gaming - Faker: GOAT Facts and ...,Discover essential Faker facts and his legendary League of Legends gameplay that define the GOAT of esports!,https://www.tiktok.com/@thescoreesports/video/7504413173223656710,https://serpapi.com/searches/691885e565f701103f6f81ca/images/e12c9a8f9dc91a8cd2052ff02a947a3db4b558b95c92d8dcc78fb73be8ac1e30.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcR1Xwgjsmw4aC2Rjs-nc7uAHxan0D7z85lXEQ,,81.4K+ views · 6 months ago,pentakill - #esports - #gaming - Faker: GOAT Facts and ... Discover essential Faker facts and his legendary League of Legends gameplay that define the GOAT of esports!,,,thescoreesports,https://www.tiktok.com/@thescoreesports,7504413173223656710
27,TikTok · polar,WHEN PEAK MEETS PEAK MY GOAT FAKER KNOWS ...,WHEN PEAK MEETS PEAK MY GOAT FAKER KNOWS BALL AND HE'S CAUGHT UP TOO?? what timeline am i living i just know luffy would recruit faker they ...,https://www.tiktok.com/@t1polar/video/7572758327176826133,,,WHEN PEAK MEETS PEAK MY GOAT FAKER KNOWS BALL,136.9K+ views · 12 hours ago,WHEN PEAK MEETS PEAK MY GOAT FAKER KNOWS ... WHEN PEAK MEETS PEAK MY GOAT FAKER KNOWS BALL AND HE'S CAUGHT UP TOO?? what timeline am i living i just know luffy would recruit faker they ...,,,t1polar,https://www.tiktok.com/@t1polar,7572758327176826133
28,TikTok · GothamChess,hi @faker lets play chess | faker,"... ️. Who is Faker? For the blind, He is vision. For the hungry, He is the chef. For the thirsty, He is water. If Faker thinks, I agree.",https://www.tiktok.com/@levyrozman/video/7570354251080289550,https://serpapi.com/searches/691885e565f701103f6f81ca/images/e12c9a8f9dc91a8cd2052ff02a947a3d785e0d0fbf12a62e9084d835344bb1bb.jpeg,,,562.1K+ views · 6 days ago,"hi @faker lets play chess | faker ... ️. Who is Faker? For the blind, He is vision. For the hungry, He is the chef. For the thirsty, He is water. If Faker thinks, I agree.",,,levyrozman,https://www.tiktok.com/@levyrozman,7570354251080289550
29,TikTok · Follow For More Worlds Content,Faker's Top 5 Casting Calls in League of Legends,Discover the best casting moments from Faker that shaped the esports scene! Don't miss these highlights! #faker #t1 #worlds2025 #lolesports.,https://www.tiktok.com/@ggitsryan_/video/7569406341035412766,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQKg_BTMbWJWLEhvN8ZMogfa2Q8HTEd0BDX-5aDMxLBEVq7&s,,,63.7K+ views · 1 week ago,Faker's Top 5 Casting Calls in League of Legends Discover the best casting moments from Faker that shaped the esports scene! Don't miss these highlights! #faker #t1 #worlds2025 #lolesports.,,,ggitsryan_,https://www.tiktok.com/@ggitsryan_,7569406341035412766
31,TikTok · Caedrel,Faker's Game Play Count Surpasses LCK Champions,Discover how Faker's game count in League of Legends compares to LCK champions. A deep dive into his remarkable career! #caedrel # ...,https://www.tiktok.com/@caedrel/video/7491430587996081430,https://serpapi.com/searches/691885e95c4bf44cd7606cfe/images/1d8287c9ca3e002f0c12c1e1ed0de84665d7694eb2369143d880c876cb3ffd99.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcQvt88h4doDz5v7Fe6GN0RM5tjrsVtVKqmPSg,,95.9K+ views · 7 months ago,Faker's Game Play Count Surpasses LCK Champions Discover how Faker's game count in League of Legends compares to LCK champions. A deep dive into his remarkable career! #caedrel # ...,,,caedrel,https://www.tiktok.com/@caedrel,7491430587996081430
33,TikTok · Caedrel,Caedrel Interviews Faker: Insights from the GOAT,"Faker. Caedrel Interviews Faker: Insights from the GOAT. Join Caedrel as he interviews Faker, exploring strategies and stories from the GOAT of ...",https://www.tiktok.com/@caedrel/video/7526241086587571478,https://serpapi.com/searches/691885e95c4bf44cd7606cfe/images/1d8287c9ca3e002f0c12c1e1ed0de846cd96f3acc2ece2d21a6a7e6ad1aea41a.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcQ1MRIWAhAWme8ssYJAv0Z9hQ8Z8iRhPi9g8g,,98.8K+ views · 4 months ago,"Caedrel Interviews Faker: Insights from the GOAT Faker. Caedrel Interviews Faker: Insights from the GOAT. Join Caedrel as he interviews Faker, exploring strategies and stories from the GOAT of ...",,,caedrel,https://www.tiktok.com/@caedrel,7526241086587571478
34,TikTok · Noe id 🇮🇩,🤌 #Worlds #t1 #faker #king #LEAGUEOFLEGENDS,"The REAL Florida Finds Secret Garden Edition There is a magical botanical garden with koi fish, an 100 year old quary, endless nature trails ...",https://www.tiktok.com/@noefa_tt/video/7571643173898898696,https://serpapi.com/searches/691885e95c4bf44cd7606cfe/images/1d8287c9ca3e002f0c12c1e1ed0de8465524dbd7e0d7ebeca4aae6ed730e3bc3.jpeg,,,43K+ views · 3 days ago,"🤌 #Worlds #t1 #faker #king #LEAGUEOFLEGENDS The REAL Florida Finds Secret Garden Edition There is a magical botanical garden with koi fish, an 100 year old quary, endless nature trails ...",,,noefa_tt,https://www.tiktok.com/@noefa_tt,7571643173898898696
36,TikTok · Jackson RC,Who Is Faker's Shadow in League of Legends?,Discover the true identity of Faker's shadow in League of Legends and how it impacts the esports scene. Dive into the rivalry of Ruler vs Faker!,https://www.tiktok.com/@jacksonroyc/video/7528371821264112927,https://serpapi.com/searches/691885e95c4bf44cd7606cfe/images/1d8287c9ca3e002f0c12c1e1ed0de8468958a1f5c92d7d50484f69befff83500.jpeg,,,142.9K+ views · 4 months ago,Who Is Faker's Shadow in League of Legends? Discover the true identity of Faker's shadow in League of Legends and how it impacts the esports scene. Dive into the rivalry of Ruler vs Faker!,,,jacksonroyc,https://www.tiktok.com/@jacksonroyc,7528371821264112927
37,TikTok · theScore esports,Faker: The Cold Motherfucker of League of Legends,"Faker, the iconic League of Legends player, has once again captured the spotlight with his undeniable skills and charisma.",https://www.tiktok.com/@thescoreesports/video/7368595180448009477,https://serpapi.com/searches/691885e95c4bf44cd7606cfe/images/1d8287c9ca3e002f0c12c1e1ed0de8462a747a1f46d0c0e2cf76650cec5feddf.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcSSGDAm2qJbTt43ZFCeRgxuU5WU4LvdUxuOsQ,,1.9M+ views · 1 year ago,"Faker: The Cold Motherfucker of League of Legends Faker, the iconic League of Legends player, has once again captured the spotlight with his undeniable skills and charisma.",,,thescoreesports,https://www.tiktok.com/@thescoreesports,7368595180448009477
38,TikTok · Follow For More Worlds Content,Faker Trusting Doran's Play Style vs Top Esports,Watch Faker's trust in Doran's strategy during Game 2 against Top Esports in the thrilling Worlds 2025 match! #faker #t1 #lolesports. This ...,https://www.tiktok.com/@ggitsryan_/video/7568375432421051678,https://serpapi.com/searches/691885e95c4bf44cd7606cfe/images/1d8287c9ca3e002f0c12c1e1ed0de846b49260548d0c1a2a27c43a1928e3b79b.jpeg,,,117.4K+ views · 1 week ago,Faker Trusting Doran's Play Style vs Top Esports Watch Faker's trust in Doran's strategy during Game 2 against Top Esports in the thrilling Worlds 2025 match! #faker #t1 #lolesports. This ...,,,ggitsryan_,https://www.tiktok.com/@ggitsryan_,7568375432421051678
39,TikTok · Caedrel,Caedrel's Confusion with Faker in League of Legends,Watch as Caedrel reacts to Faker's confusion over a mispronounced name during a League of Legends match. Get the full story here! #caedrelclips ...,https://www.tiktok.com/@caedrel/video/7547862706104093974,https://serpapi.com/searches/691885ee55cfe1bdd70b56c2/images/502a595dff91fd7c14ffef27b4481265f8133f118c8c7a000de860395488df87.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcQJEYs6-xcTSVu8n5Uh_XLNMNWRk9fGuwQI-A,,71.9K+ views · 2 months ago,Caedrel's Confusion with Faker in League of Legends Watch as Caedrel reacts to Faker's confusion over a mispronounced name during a League of Legends match. Get the full story here! #caedrelclips ...,,,caedrel,https://www.tiktok.com/@caedrel,7547862706104093974
40,TikTok · Jackson RC,Faker's Dominance in T1 League of Legends Gameplay,"4194 Likes, 78 Comments. TikTok video from Jackson RC (@jacksonroyc): “Explore how Faker showcases clutch plays and Oner's underrated talent ...",https://www.tiktok.com/@jacksonroyc/video/7531877484401315102,https://serpapi.com/searches/691885ee55cfe1bdd70b56c2/images/502a595dff91fd7c14ffef27b4481265c4e80c38ffec4eda9737ba889ebcede4.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcRffgyvfKa7ciJejD5-DRdXQPAWMRk-Gs1Huw,,44.9K+ views · 3 months ago,"Faker's Dominance in T1 League of Legends Gameplay 4194 Likes, 78 Comments. TikTok video from Jackson RC (@jacksonroyc): “Explore how Faker showcases clutch plays and Oner's underrated talent ...",4194,78,jacksonroyc,https://www.tiktok.com/@jacksonroyc,7531877484401315102
41,TikTok · Noe id 🇮🇩,Faker Brillando en el Mundial de League of Legends,"417.4K Likes, 1425 Comments. TikTok video from Noe id (@noefa_tt): “Disfruta de los mejores momentos de Faker en el Mundial de League of ...",https://www.tiktok.com/@noefa_tt/video/7570629344540822802,https://serpapi.com/searches/691885ee55cfe1bdd70b56c2/images/502a595dff91fd7c14ffef27b4481265ef910b04fbbd868095b37b104c01f833.jpeg,,,4.3M+ views · 6 days ago,"Faker Brillando en el Mundial de League of Legends 417.4K Likes, 1425 Comments. TikTok video from Noe id (@noefa_tt): “Disfruta de los mejores momentos de Faker en el Mundial de League of ...",417.4K,1425,noefa_tt,https://www.tiktok.com/@noefa_tt,7570629344540822802
43,TikTok · ONE Esports,T1 Faker Dominates at Worlds 2023,"116.2K Likes, 285 Comments. TikTok video from ONE Esports (@oneesports): “Witness the incredible performance of T1 Faker at Worlds 2023 as ...",https://www.tiktok.com/@oneesports/video/7300577717051804935,https://serpapi.com/searches/691885ee55cfe1bdd70b56c2/images/502a595dff91fd7c14ffef27b4481265fbc4202596f9310dbf4ffda66a249d39.jpeg,https://encrypted-vtbn0.gstatic.com/video?q=tbn:ANd9GcRrGCYApNqYdZudK3RbVQCnBGNPasa9rXSFhg,,1.4M+ views · 2 years ago,"T1 Faker Dominates at Worlds 2023 116.2K Likes, 285 Comments. TikTok video from ONE Esports (@oneesports): “Witness the incredible performance of T1 Faker at Worlds 2023 as ...",116.2K,285,oneesports,https://www.tiktok.com/@oneesports,7300577717051804935
44,TikTok · Kayjayoh,Kayjayoh - ¿Es Faker el Mejor en Esports?,Not only did he win 5 times. He won 5 times only for the reason that each of his team mates will get a champion trophy. With the COLDEST line in ...,https://www.tiktok.com/@kayjayoh/video/7567116570598722846,https://serpapi.com/searches/691885ee55cfe1bdd70b56c2/images/502a595dff91fd7c14ffef27b44812650f93693c27e3557b2f26f7b84f7a3a1a.jpeg,,,7.3M+ views · 2 weeks ago,Kayjayoh - ¿Es Faker el Mejor en Esports? Not only did he win 5 times. He won 5 times only for the reason that each of his team mates will get a champion trophy. With the COLDEST line in ...,,,kayjayoh,https://www.tiktok.com/@kayjayoh,7567116570598722846
45,TikTok · Duolingo,Faker y su camino en League of Legends Worlds 2025,"69.6K Likes, 375 Comments. TikTok video from Duolingo (@duolingo): “Descubre cómo Faker se prepara para Worlds 2025 en League of Legends.",https://www.tiktok.com/@duolingo/video/7570698586183322893,https://serpapi.com/searches/691885ee55cfe1bdd70b56c2/images/502a595dff91fd7c14ffef27b44812651e855effd27d69883e90cac6070c13cd.png,,,498.8K+ views · 6 days ago,"Faker y su camino en League of Legends Worlds 2025 69.6K Likes, 375 Comments. TikTok video from Duolingo (@duolingo): “Descubre cómo Faker se prepara para Worlds 2025 en League of Legends.",69.6K,375,duolingo,https://www.tiktok.com/@duolingo,7570698586183322893
